nombre,tipo,puntuacion,barrio,lat,long
Osteria Bravissimo,Restaurante,"5,0 ",Casa de Campo,40.4294952,-3.7219844
Sakale,Restaurante,"5,0 ",Universidad,40.4232664,-3.7037237
Steakburger Gran Vía 16,Restaurante,"4,5 ",Sol,40.4197995,-3.6993966
Lettera Trattoria moderna,Restaurante,"5,0 ",Cortes,40.4197308,-3.6981938
Eiffel,Restaurante,"4,5 ",Aluche,40.3958699,-3.7675557
Taberna el Sur,Restaurante,"4,5 ",Embajadores,40.4110452,-3.6995044
Santita Virgen de los Peligros,Restaurante,"5,0 ",Sol,40.418907,-3.6995762
Taberna de Peñalver,Restaurante,"5,0 ",Lista,40.4337774,-3.6747828
Taberna Más Al Sur,Restaurante,"4,5 ",Barrio no encontrado,40.0316541,-3.5908194
Ornella,Restaurante,"4,5 ",Barrio no encontrado,40.54924145,-3.8907136194325984
Mu! El Placer De La Carne,Restaurante,"4,5 ",Sol,40.4194576,-3.7039464
Steakburger - Luchana,Restaurante,"4,5 ",Trafalgar,40.4302867,-3.7005461
Oven Mozzarella Bar Atocha,Restaurante,"4,5 ",Embajadores,40.4094709,-3.6934229
Oven Mozzarella Bernabeu,Restaurante,"5,0 ",El Viso,40.4520557,-3.6853594
Yakiniku Rikyu,Restaurante,"4,5 ",Almagro,40.428128,-3.6902904
Nepali Kathmandu Tandoori House,Restaurante,"5,0 ",Timón,40.4704992,-3.5803968
Steakburger Arenal,Restaurante,"5,0 ",Palacio,40.4178642,-3.7080699
Pizzart Villa Canalejas,Restaurante,"5,0 ",Cortes,40.4170322,-3.6995917
Taberna 4 Tapas,Restaurante,"5,0 ",Palacio,40.413789,-3.7080027811815097
El Sur de Huertas,Restaurante,"4,5 ",Embajadores,40.413673,-3.6994414
Steak Burger Atocha,Restaurante,"4,5 ",Embajadores,40.409583350000005,-3.693756053372788
Sibuya Urban Sushi Bar Chueca,Restaurante,"4,5 ",Barrio no encontrado,40.8056408,-3.7696742
Casa Vito,Restaurante,"Este establecimiento todavía no tiene puntuación, ¡se el primero!",Castellana,40.4326961,-3.679469
Burro Canaglia Bar & Resto,Restaurante,"5,0 ",Goya,40.427645,-3.6681552
Pilar Akaneya,Restaurante,"5,0 ",Barrio no encontrado,40.2059823,-3.5755213
Pizzart Fuencarral,Restaurante,"5,0 ",Universidad,40.4239786,-3.7005705
Steakburger Preciados,Restaurante,"4,5 ",Palacio,40.419828,-3.7073269
La Gaditana Castellana,Restaurante,"5,0 ",Castillejos,40.4668202,-3.688892
Cedrón,Restaurante,"5,0 ",Palacio,40.4121157,-3.7105293
Curry Masala,Restaurante,"4,5 ",Sol,40.4213704,-3.7061958
Azotea Forus Barceló,Restaurante,"5,0 ",Justicia,40.4265449,-3.698786316244
El Cocodrilo,Restaurante,"5,0 ",Guindalera,40.4360504,-3.6717335
Inclán Brutal Bar,Restaurante,"4,5 ",Embajadores,40.4150858,-3.7018637
Gramabar,Restaurante,"4,5 ",Cortes,40.4155198,-3.7017311
Metro Bistró - Plaza Mayor,Restaurante,"4,5 ",Palacio,40.4146092,-3.7067543
Gustazio Gastrobar,Restaurante,"5,0 ",Legazpi,40.3852783,-3.6867536
Barganzo,Restaurante,"5,0 ",Justicia,40.421035,-3.6967949
Lola Si Mola,Restaurante,"5,0 ",Cortes,40.4132519,-3.6966129
Malafemmena,Restaurante,"4,5 ",Goya,40.42642025000001,-3.668196522884696
Dakar,Restaurante,"4,5 ",Embajadores,40.4087136,-3.7022259
Pampa Beef,Restaurante,"4,5 ",Barrio no encontrado,40.9209481,-3.6887962
Borax,Restaurante,"4,5 ",Justicia,40.4228903,-3.6983589
Madam,Restaurante,"5,0 ",Palacio,40.4221339,-3.7057144
The Irish Temple,Restaurante,"5,0 ",Ibiza,40.4178295,-3.6705459
Raza Madrid,Restaurante,"5,0 ",Justicia,40.4203213,-3.6955673
Bombardino Café,Restaurante,"5,0 ",Embajadores,40.4101745,-3.6977095
Sazón-arte,Restaurante,"5,0 ",Barrio no encontrado,40.4854916,-3.3430836
Sublime Dreams Food,Restaurante,"5,0 ",Cuatro Caminos,40.4481243,-3.7003884
Vinoteca Moratín,Restaurante,"4,5 ",Cortes,40.4125279,-3.6954315
La Pizzateca,Restaurante,"4,5 ",Embajadores,40.4127317,-3.6993075
Beytna Restaurante,Restaurante,"5,0 ",Piovera,40.4570015,-3.6484048
Cebo,Restaurante,"5,0 ",Cortes,40.4164051,-3.6985954
Sto Globo Sushi Room,Restaurante,"5,0 ",Justicia,40.4257801,-3.6959139
Enklima,Restaurante,"4,5 ",Casa de Campo,40.4261012,-3.7171041
Oven Mozzarella Bar Fuencarral,Restaurante,"4,5 ",Universidad,40.4253241,-3.7007863
Maruzzella,Restaurante,"4,5 ",Rios Rosas,40.4462942,-3.6933335
Oven Mozzarella Gran Vía 6,Restaurante,"4,5 ",Barrio no encontrado,40.47339955,-3.8724069415983022
La Piramide,Restaurante,"4,5 ",Valverde,40.4894603,-3.6942448
Rosi La Loca,Restaurante,"4,5 ",Barrio no encontrado,40.5324612,-4.0965302
El Ponientazo,Restaurante,"4,5 ",Palacio,40.4163433,-3.7088972
Curry y Canela,Restaurante,"5,0 ",Recoletos,40.4243632,-3.6790882
Davanti Food & Market,Restaurante,"4,5 ",Justicia,40.4220975,-3.6968794
The Market Madrid,Restaurante,"4,5 ",Prosperidad,40.4429927,-3.669342
Restaurante Solidere Chueca,Restaurante,"4,5 ",Justicia,40.420856,-3.6974467
El Tormo,Restaurante,"5,0 ",Palacio,40.4117258,-3.7146334
Txirimiri Ferraz,Restaurante,"4,5 ",Casa de Campo,40.4262421,-3.7172405
Cherry Pecas,Restaurante,"4,5 ",Vallehermoso,40.4409947,-3.7153521
Txirimiri Ibiza,Restaurante,"4,5 ",Ibiza,40.4183567,-3.6753488
Bardero,Restaurante,"5,0 ",Palos de Moguer,40.4039759,-3.694602
Bocadillos Oink,Restaurante,"4,5 ",Barrio no encontrado,40.47083205,-3.871344282431271
Don Dimas,Restaurante,"5,0 ",Recoletos,40.4275878,-3.6813141
Mad Mad Vegan,Restaurante,"5,0 ",Justicia,40.4227628,-3.6985824
Levél Veggie Bistro,Restaurante,"4,5 ",Jerónimos,40.4156225,-3.6775696
Eatmytrip Brunch & Cocktails Madrid,Restaurante,"4,5 ",Palacio,40.4130004,-3.7135539
Ramon Freixa Madrid,Restaurante,"4,5 ",Barrio no encontrado,40.5938943,-4.1466444
Mesón Molinero,Restaurante,"4,5 ",Lucero,40.3972995,-3.7441719
Oliveto,Restaurante,"4,5 ",Barrio no encontrado,40.0316541,-3.5908194
Kaiten Sushi Madrid,Restaurante,"4,5 ",Palacio,40.4219833,-3.7077029
Tacos & Tapas,Restaurante,"4,5 ",Palacio,40.4125175,-3.7124848
Gandarío,Restaurante,"4,5 ",Gaztambide,40.4345527,-3.7154502
VINITUS GRAN VÍA MADRID,Restaurante,"4,5 ",Sol,40.4200513,-3.7020538
Purnima Indian Restaurant,Restaurante,"4,5 ",Barrio no encontrado,40.3371548,-3.7792269
Taberna de Paula,Restaurante,"4,5 ",Arapiles,40.4376315,-3.7082514
Burnout,Restaurante,"4,5 ",Sol,40.4207841,-3.7021303
Vega Alamo,Restaurante,"4,5 ",Palacio,40.4238781,-3.7091298
Casa Carola,Restaurante,"4,5 ",Barrio no encontrado,40.6191274,-4.2760921
Salmon Guru,Restaurante,"4,5 ",Barrio no encontrado,40.4266897,-3.5638453
Chulapas Cafe,Restaurante,"5,0 ",Casco Histórico de Vicálvaro,40.4014323,-3.6073598
Sr. Ito,Restaurante,"4,5 ",Justicia,40.4241013,-3.6974595
Restaurante Morgana,Restaurante,"4,5 ",Cortes,40.4204587,-3.6974459
Dans Le Noir ?,Restaurante,"4,5 ",Palacio,40.4159412,-3.7113401
Restaurante Excalibur Madrid,Restaurante,"5,0 ",Casa de Campo,40.4257675,-3.7146245
Sessions,Restaurante,"4,5 ",Palos de Moguer,40.406632,-3.695638760121857
Valdivieso Cocina Con Alma,Restaurante,"4,5 ",Palos de Moguer,40.4050029,-3.6987357
Restaurante Campanillas,Restaurante,"4,5 ",Timón,40.4726903,-3.5816427
La Taberna de Mister Pinkleton,Restaurante,"4,5 ",Palacio,40.4145408,-3.7079542
Restaurante Noi,Restaurante,"4,5 ",Recoletos,40.4220139,-3.6906004
Restaurante Ablanedo,Restaurante,"4,5 ",Barrio no encontrado,41.0396472,-3.6405343
RECREO Espartinas,Restaurante,"4,5 ",Recoletos,40.4244195,-3.6792368
Toga,Restaurante,"4,5 ",Embajadores,40.4110723,-3.7066866
Divino Tinto,Restaurante,"4,5 ",Barrio no encontrado,40.40189315,-3.4026730805419785
Campesino Burger Al Carbón,Restaurante,"4,5 ",Embajadores,40.4104087,-3.6947574
Brew Wild Pizza Bar,Restaurante,"4,5 ",Cortes,40.4147985,-3.6995295
Nacho Bravo,Restaurante,"4,5 ",Chopera,40.3921718,-3.6947613
La Levantera,Restaurante,"4,5 ",Goya,40.4247478,-3.672139
niMÚ Barquillo,Restaurante,"4,5 ",Justicia,40.4238119,-3.6954921
Los Grifos,Restaurante,"4,5 ",Barrio no encontrado,40.3217556,-3.7119874
Restaurante La Malontina,Restaurante,"4,5 ",Barrio no encontrado,40.2090778,-3.1949126
Restaurante Sagar,Restaurante,"4,5 ",Guindalera,40.4358615,-3.6723777
Asador Nuevo Porche,Restaurante,"4,5 ",Timón,40.4713093,-3.5825308
Angelita Madrid,Restaurante,"4,5 ",Sol,40.4203614,-3.7003595
Restaurante El Flaco,Restaurante,"4,5 ",Ciudad Jardín,40.448442,-3.67043
Decadente,Restaurante,"4,5 ",Cortes,40.4151516,-3.6995745
Restaurante Gala,Restaurante,"4,5 ",Barrio no encontrado,40.206016,-3.5747502
Brunch Club Cafe,Restaurante,"4,5 ",Barrio no encontrado,41.0049552,-3.6724324
Araldo Arte del Gusto,Restaurante,"4,5 ",Cortes,40.4176566,-3.6955775
La Rodaja,Restaurante,"4,5 ",Fuente del Berro,40.425086,-3.6632944
Lafayette,Restaurante,"4,5 ",El Viso,40.4413444,-3.6802448
Tampu,Restaurante,"4,5 ",Justicia,40.4219515,-3.6935347
Casa Benigna,Restaurante,"4,5 ",Ciudad Jardín,40.4480719,-3.6743241
Alcaravea castello,Restaurante,"4,5 ",Castellana,40.4321296,-3.6810288
Taberna Maldeamores,Restaurante,"4,5 ",Justicia,40.4223282,-3.6965958
La Tasqueria de Javi Estévez,Restaurante,"4,5 ",Ibiza,40.4222271,-3.6735107
Fogg Bar,Restaurante,"4,5 ",Pacífico,40.4039754,-3.6778483
Dolores y Lola,Restaurante,"4,5 ",Universidad,40.4290164,-3.7048773
Miyama Flor Baja,Restaurante,"4,5 ",Palacio,40.4221735,-3.7097663
La Sifonería,Restaurante,"4,5 ",Argüelles,40.430851,-3.7191744
Cilindro,Restaurante,"4,5 ",Goya,40.4287541,-3.6748719
El Alambique Taberna,Restaurante,"4,5 ",Embajadores,40.4117697,-3.6955733
Triana,Restaurante,"4,0 ",Ibiza,40.4199664,-3.6758584
Domo Abascal,Restaurante,"4,5 ",Almagro,40.438365,-3.6951434
Casa Jaguar Madrid,Restaurante,"4,5 ",Palacio,40.4190393,-3.7084384
SUKALDEA ATOTXA Madrid,Restaurante,"4,5 ",Embajadores,40.40892255,-3.692877474168764
Torikey,Restaurante,"4,5 ",Rios Rosas,40.4409682,-3.7004196
Mawey Taco Bar - Olid,Restaurante,"4,5 ",Trafalgar,40.4317789,-3.702372
La Hummuseria,Restaurante,"4,5 ",Barrio no encontrado,40.3089611,-3.7378546
Piccola Napoli,Restaurante,"4,5 ",Barrio no encontrado,40.4885935,-3.3412109
La Encomienda,Restaurante,"4,5 ",Embajadores,40.4106324,-3.7059609
Taberna Degusta,Restaurante,"4,5 ",Lista,40.4368483,-3.6771321
Taberna & Media,Restaurante,"4,5 ",Ibiza,40.4208275,-3.6778461142567824
Corral de la Moreria,Restaurante,"4,5 ",Palacio,40.4127674,-3.7141526
Bangalore Modern Indian Cuisine,Restaurante,"4,5 ",Barrio no encontrado,40.5471417,-3.6332563
Miyama,Restaurante,"4,5 ",Almagro,40.4356998,-3.6897633
Restaurante Anjana,Restaurante,"3,0 ",Barrio no encontrado,40.5414395,-3.6337534
Restaurante Alabaster,Restaurante,"4,5 ",Jerónimos,40.4181855,-3.68983
El mirador del Goloso,Restaurante,"4,5 ",Mirasierra,40.4980167,-3.7002729
La Chamana,Restaurante,"4,5 ",Barrio no encontrado,40.54834585,-4.103364996322999
Cinco Jotas Serrano,Restaurante,"4,5 ",El Viso,40.4526451,-3.6808674
Restaurante Sal Negra,Restaurante,"4,5 ",Nueva España,40.46766435,-3.681225323844538
Tras os montes,Restaurante,"4,5 ",Mirasierra,40.4930284,-3.7257673
Gaytán,Restaurante,"4,5 ",El Viso,40.4498245,-3.6783597
Santceloni,Restaurante,"4,5 ",Almagro,40.4388682,-3.6915519
Restaurante PAIPÁI,Restaurante,"4,5 ",Nueva España,40.46017,-3.6762096
Doli Indian Restaurant,Restaurante,"4,5 ",Barrio no encontrado,40.5471417,-3.6332563
Naomi,Restaurante,"4,5 ",Barrio no encontrado,40.3448499,-3.8280982782320185
Ronda 14,Restaurante,"4,5 ",Almagro,40.4357956,-3.6878781
Indian Accent,Restaurante,"5,0 ",Justicia,40.420541,-3.696901
Bresca,Restaurante,"4,5 ",Embajadores,40.4106867,-3.6995223
B13,Restaurante,"4,5 ",Universidad,40.4219278,-3.7035187
El Rey de Los Tacos,Restaurante,"4,5 ",Palacio,40.4214445,-3.7092573
Vega,Restaurante,"4,5 ",Barrio no encontrado,40.3426926,-3.825277958731783
La Vaca y la Huerta,Restaurante,"4,5 ",Recoletos,40.421281,-3.6887568
Cafeteria Neila,Restaurante,"4,5 ",Barrio no encontrado,40.501532,-4.2389537
Latasia,Restaurante,"4,5 ",Cuatro Caminos,40.4568559,-3.6907533
Art & Sushi,Restaurante,"4,5 ",Universidad,40.429041,-3.7033769
De Maria - Calle Hortaleza,Restaurante,"4,5 ",Justicia,40.4258389,-3.6973517
Alimentacion Quiroga,Restaurante,"4,5 ",Embajadores,40.4137777,-3.6994717
Tamán,Restaurante,"5,0 ",Barrio no encontrado,40.5110145,-3.3631345
Casa Toni,Restaurante,"4,5 ",Barrio no encontrado,40.6250761,-4.008856140409396
Pizzeria Vesuvio -Hortaleza,Restaurante,"4,5 ",Sol,40.420611,-3.7007827
Gioia,Restaurante,"4,5 ",Barrio no encontrado,40.7675296,-3.5102594
Bambubox Madrid,Restaurante,"4,5 ",Barrio no encontrado,40.33879365,-3.868792298811983
Lubora Madrid Bistro,Restaurante,"4,5 ",Barrio no encontrado,40.413627,-3.8959921
Il Pizzaiolo,Restaurante,"4,5 ",Justicia,40.423789,-3.6985126
Nuria Restaurante Etiope,Restaurante,"4,5 ",Barrio no encontrado,40.3217556,-3.7119874
La Musa Malasaña,Restaurante,"4,5 ",Universidad,40.4287864,-3.7043256
Dantxari,Restaurante,"4,5 ",Barrio no encontrado,40.5913942,-4.1458076
Taberna Rayuela,Restaurante,"4,5 ",Palacio,40.4131212,-3.7133162
Amicis,Restaurante,"4,5 ",Palacio,40.4149688,-3.7093521
El Arco Pinoy,Restaurante,"4,5 ",Embajadores,40.4141059,-3.7009441
El Velazquez 17,Restaurante,"4,0 ",Recoletos,40.4228979,-3.6845019
Clos Madrid,Restaurante,"4,5 ",Rios Rosas,40.4461718,-3.6996769
O`pulpo,Restaurante,"4,5 ",Embajadores,40.41281225,-3.7018683059565936
Chuka Ramen Bar,Restaurante,"4,5 ",Cortes,40.4157547,-3.6995717
Restaurante Gaudium Chamberí,Restaurante,"4,5 ",Trafalgar,40.4331698,-3.6991118
Bar Tropicalista,Restaurante,"4,0 ",Sol,40.4211658,-3.7035588
Vinoteca Garcia de la Navarra,Restaurante,"4,5 ",Jerónimos,40.41838615,-3.691097648314398
Arroceria D´stapa Madrid,Restaurante,"4,5 ",Palacio,40.4135782,-3.7102688
La Taberna del Colono,Restaurante,"4,5 ",Universidad,40.4289116,-3.7036564
99 Sushi Bar,Restaurante,"4,5 ",Recoletos,40.4264714,-3.6886087
Sr. Ito Lab,Restaurante,"4,5 ",Barrio no encontrado,40.829607,-3.538525258207831
Ouh...Babbo!,Restaurante,"4,5 ",Palacio,40.4185506,-3.7089327
La Manduca de Azagra,Restaurante,"4,5 ",Barrio no encontrado,40.5010147,-4.2386388
Massa Pizza,Restaurante,"4,5 ",Justicia,40.4226652,-3.6990593
El Sainete,Restaurante,"4,5 ",Trafalgar,40.4372171,-3.6993398
Bacira,Restaurante,"4,5 ",Trafalgar,40.4337811,-3.6989949
DokiDOki,Restaurante,"4,5 ",Recoletos,40.4210523,-3.689841
Taberna La Gaditana,Restaurante,"4,5 ",Goya,40.4257725,-3.6725156
Trattoria Malatesta,Restaurante,"4,5 ",Sol,40.416689,-3.7070404
Paco Roncero Restaurante,Restaurante,"4,5 ",Sol,40.4179418,-3.7003554508204
Tapa Tapa Arenal,Restaurante,"4,5 ",Palacio,40.4173926,-3.7073825
Restaurante Ático,Restaurante,"4,5 ",Barrio no encontrado,40.3632898,-4.3974533
99 Sushi Bar - Padre Damian,Restaurante,"4,5 ",Barrio no encontrado,40.7001245,-3.9691504
Bayres beef Argentina en tapas,Restaurante,"4,5 ",Ciudad Jardín,40.4482389,-3.6756525
Sanissimo Opera,Restaurante,"4,5 ",Barrio no encontrado,40.4362694,-3.8175918
Bosque De Piamonte,Restaurante,"5,0 ",Universidad,40.4268614,-3.7012530812963416
Los Chuchis Bar,Restaurante,"4,5 ",Embajadores,40.4072863,-3.7010846
La Sanabresa,Restaurante,"4,5 ",Embajadores,40.4126114,-3.6985299
Taberna del Chato,Restaurante,"4,5 ",Gaztambide,40.4383757,-3.7140618
Ferretería Restaurante,Restaurante,"4,5 ",Embajadores,40.4127889,-3.6997456
El b_Us,Restaurante,"4,5 ",Barrio no encontrado,40.3459598,-4.0295875
izakaya Han,Restaurante,"4,5 ",Barrio no encontrado,40.7622164,-3.7880182
El Cogollo de la Descarga,Restaurante,"4,5 ",Palacio,40.4170061,-3.7081921
Le Comptoir de la Crepe,Restaurante,"4,5 ",Barrio no encontrado,41.0610748,-3.5456222
Pizza Natura,Restaurante,"5,0 ",Barrio no encontrado,40.4893819,-3.3592245
Arbonaida Bar,Restaurante,"4,5 ",Palacio,40.4164826,-3.7106873
Paperboy Perrito Bar,Restaurante,"4,5 ",Universidad,40.4298565,-3.7011572
A'Barra,Restaurante,"4,5 ",El Viso,40.4397493,-3.6873855
Ramen Kagura,Restaurante,"4,5 ",Palacio,40.41681,-3.7087404
Vietnam Restaurante,Restaurante,"4,5 ",Barrio no encontrado,40.6583337,-3.7653058
La monteria,Restaurante,"4,5 ",Jerónimos,40.4171985,-3.6779467
Ástor Puerta Cerrada,Restaurante,"5,0 ",Palacio,40.4140762,-3.7085741
Asador Avelino,Restaurante,"4,5 ",Barrio no encontrado,40.4561491,-3.813543
Vi Cool,Restaurante,"4,0 ",Barrio no encontrado,40.6580141,-3.7652543
DSTAGE,Restaurante,"4,5 ",Justicia,40.4245942,-3.6963316
Soy Kitchen,Restaurante,"4,5 ",Almagro,40.4359695,-3.6931682
La Taberna De El Pimiento Verde,Restaurante,"4,5 ",Palacio,40.4150505,-3.7093711
Vila Brasil,Restaurante,"4,5 ",Prosperidad,40.4430038,-3.6702492
Tandoori Station,Restaurante,"4,5 ",Castellana,40.430194,-3.6802529
Bar Selva,Restaurante,"4,5 ",Palacio,40.4235515,-3.7086469
PICCOLO DIAVOLO,Restaurante,"4,5 ",Embajadores,40.4114617,-3.6955698
Sincio Cocina de mercado,Restaurante,"5,0 ",Embajadores,40.4117321,-3.6984768
Ondinas Do Mendo,Restaurante,"4,5 ",Barrio no encontrado,40.32076805,-3.8707366525460136
Casa González,Restaurante,"4,5 ",Embajadores,40.4139983,-3.6989107
Casa Jacinto,Restaurante,"4,5 ",Palacio,40.4220011,-3.7116977
AskuaBarra,Restaurante,"4,5 ",Cortes,40.4171266,-3.6988097
ARQUIBAR,Restaurante,"4,5 ",Universidad,40.4257926,-3.7099074
Mesón del Champiñón,Restaurante,"4,5 ",Palacio,40.4150603,-3.7081931
KABUKI WELLINGTON SL,Restaurante,"4,5 ",Barrio no encontrado,40.3363102,-3.7798725
Burnout Burgers,Restaurante,"4,5 ",Trafalgar,40.4325089,-3.7036904
Restaurante La Vanduca,Restaurante,"4,5 ",Jerónimos,40.4210631,-3.6881291
Arahy,Restaurante,"4,5 ",Jerónimos,40.4196532,-3.6898222
De Maria-Calle Felix Boix,Restaurante,"4,5 ",Nueva España,40.4632619,-3.6865514
De Maria-Gran Via,Restaurante,"4,5 ",Barrio no encontrado,40.47083205,-3.871344282431271
Healthy Hunters,Restaurante,"4,5 ",Castellana,40.4376155,-3.683084
Ganz Wine Bar,Restaurante,"4,5 ",Embajadores,40.4112111,-3.6948323
La Piccola Trattoria,Restaurante,"4,5 ",Embajadores,40.4106286,-3.6993993
East 47,Restaurante,"4,5 ",Cortes,40.4153111,-3.6946992
Casa Revuelta,Restaurante,"4,5 ",Palacio,40.4139218,-3.707839
L´Artisan Furansu Kitchen,Restaurante,"4,5 ",Cortes,40.4153141,-3.6988004937943257
Sacha,Restaurante,"4,5 ",Barrio no encontrado,40.6087674,-4.0467734
Mad Cafe,Restaurante,"4,5 ",Palacio,40.4122689,-3.7088555
Estancia La Adriana,Restaurante,"4,5 ",Sol,40.4163034,-3.7042889
Kabuki,Restaurante,"4,5 ",Cuatro Caminos,40.4550922,-3.6970397
La Portuguesa Taberna,Restaurante,"4,5 ",Argüelles,40.42635145,-3.7149984577454527
El pedrusco de Aldealcorvo,Restaurante,"4,5 ",Barrio no encontrado,40.2768616,-3.5924812
Taberna Laredo,Restaurante,"4,5 ",Barrio no encontrado,40.1952657,-3.6777154
Foodtruck,Restaurante,"4,5 ",Barrio no encontrado,40.3437101,-3.8242024
El Barril de las Cortes,Restaurante,"4,5 ",Cortes,40.4166656,-3.6988101
desengaño13,Restaurante,"4,0 ",Sol,40.4210185,-3.7043409
El Mollete,Restaurante,"4,5 ",Palacio,40.4198376,-3.7105593
Hermanos Ordas,Restaurante,"4,5 ",Barrio no encontrado,40.5471417,-3.6332563
Waraku,Restaurante,"5,0 ",Argüelles,40.4322225,-3.7180002
Ochenta Grados Malasaña,Restaurante,"4,0 ",Universidad,40.4287119,-3.703588
New York Burger General Yagüe,Restaurante,"4,0 ",Barrio no encontrado,40.3368148,-4.1299456
Villoldo,Restaurante,"4,5 ",Castellana,40.4366705,-3.6841549
A vÁnvera,Restaurante,"4,5 ",Rios Rosas,40.4397914,-3.6928346
Chow Chow Madrid,Restaurante,"4,5 ",El Viso,40.4518842,-3.680445
Restaurante Volvoreta,Restaurante,"4,5 ",La Paz,40.47669165,-3.6879610767045454
Restaurante Viridiana,Restaurante,"4,0 ",Jerónimos,40.4172352,-3.6895976
La Ideal,Restaurante,"4,5 ",Sol,40.4149007,-3.7068257
Parrilla El Gaucho,Restaurante,"4,5 ",Sol,40.418183,-3.7031236
Cantina La Traviesa,Restaurante,"4,5 ",Palacio,40.414074,-3.7082222
Rocacho,Restaurante,"4,5 ",Barrio no encontrado,40.7001245,-3.9691504
Fathe Pur,Restaurante,"4,0 ",Barrio no encontrado,40.5565086,-3.891833910852508
O'Pazo,Restaurante,"4,5 ",Barrio no encontrado,40.436316,-3.8122696
Solo De Croquetas,Restaurante,"4,5 ",Cortes,40.4159756,-3.6995699
Vinoteca Vides,Restaurante,"4,5 ",Justicia,40.4209558,-3.6973069
Restaurante Luxury,Restaurante,"4,5 ",Universidad,40.4302666,-3.704908
La Burbujería,Restaurante,"5,0 ",Sol,40.421296,-3.7029037
Taberna La Catapa,Restaurante,"4,5 ",Barrio no encontrado,40.4857152,-3.3436242
Urrechu Velázquez,Restaurante,"4,5 ",El Viso,40.4430984,-3.6823178
Entre Suspiro y Suspiro,Restaurante,"4,0 ",Palacio,40.4186369,-3.7090308
Gustos Madrid Plaza Mayor,Restaurante,"4,5 ",Palacio,40.4150007,-3.7078127
MACERA,Restaurante,"4,5 ",Barrio no encontrado,40.402188,-3.9994854
Matador,Restaurante,"4,5 ",Embajadores,40.4145746,-3.7029709
Saddle Madrid,Restaurante,"4,5 ",Justicia,40.4267865,-3.6913877
Casa San Juan,Restaurante,"5,0 ",Embajadores,40.41390445,-3.700808270944668
Le Coq Atocha,Restaurante,"4,5 ",Embajadores,40.4134307,-3.7010733
Aloha Poké Goya,Restaurante,"5,0 ",Barrio no encontrado,40.3234121,-3.8524474
Jota Batela,Restaurante,"4,5 ",Palacio,40.4217055,-3.7059064
CHILA,Restaurante,"5,0 ",Palacio,40.4203785,-3.7080769
Palacio de Anglona,Restaurante,"4,5 ",Barrio no encontrado,40.4848152,-3.3518353
Trattoria La Tavernetta,Restaurante,"4,5 ",Barrio no encontrado,40.4772663,-3.3837207
Restaurante Korea,Restaurante,"4,0 ",Rios Rosas,40.4429598,-3.695652
Los Espetinhos,Restaurante,"4,5 ",Barrio no encontrado,40.4829687,-3.3693968
Il Boccone,Restaurante,"4,5 ",Delicias,40.3989517,-3.6869451
Venta El Buscon,Restaurante,"4,0 ",Barrio no encontrado,40.4800661,-3.369931
Restaurante Jumbo,Restaurante,"5,0 ",Timón,40.4716099,-3.5807712
Pez Tortilla,Restaurante,"4,5 ",Universidad,40.4243287,-3.7065782
