descripcion,link,nombre,precio,puntuacion,serv_hab,tipo_hab,ubicacion,lat,long
"Elegante hotel de diseño que se encuentra en la exclusiva zona del Paseo del Prado, junto a la Bolsa de Madrid, la Plaza Neptuno y a pocos minutos andando del Museo del Prado y del Parque del Retiro. Ubicado en un antiguo edificio de cinco alturas, construido a principios del siglo XIX. Todas las habitaciones cuentan con WIFI gratuito en todo el edificio. El hotel cuenta con 71 elegantes habitaciones repartidas en cinco pisos y un apartamento totalmente equipado con cocina incluida. Todas las habitaciones están decoradas con muebles modernos y a su vez cómodos para asegurar que al cliente no le falta nada durante su estancia. En el restaurante del Hotel Petit Palace Lealtad Plaza se ofrece un exquisito desayuno buffet cada mañana compuesto por una amplia selección de productos y platos tanto calientes como fríos para que los clientes puedan empezar el día con la energía necesaria. El hotel ofrece un exclusivo alquiler de bicicletas de forma gratuita y acepta mascotas hasta un máximo de 15 kg (cestas y cuencos disponibles gratuitamente). Recepción de 24 horas.",No hay link,Petit Palace Lealtad Plaza,143 €,"4,5","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Bar/salón"",""Alquiler de bicicletas"",""Tronas disponibles"",""Carritos de bebé"",""Alquiler de coches"",""Centro de negocios con acceso a Internet"",""Aire acondicionado"",""Servicio de limpieza"",""Servicio de habitaciones"",""Teléfono"",""Minibar"",""Televisor de pantalla plana"",""Artículos de aseo gratuitos de cortesía"",""Secador de pelo""]","[""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Calle Antonio Maura, 5, 28014, Madrid",40.5860137,-3.9217182
"Moderno Boutique hotel de diseño cuatro estrellas, situado en la principal calle comercial de Madrid, calle Preciados. Su excelente ubicación, entre Plaza España – Gran Vía – Paseo del Prado – Puerta del Sol y Plaza Mayor, permite ofrecer a sus clientes los mayores atractivos culturales y comerciales de Madrid. MINIBAR y WIFI GRATUITO en todas las habitaciones.La tranquilidad en su entorno, cortesía, elegancia y la comodidad, son el encanto y la grandeza del Hotel Preciados.",No hay link,Hotel Preciados,134 €,"4,5","[""Aparcamiento privado de pago dentro del recinto"",""Internet de alta velocidad gratuito (wifi)"",""Bar/salón"",""Canales de televisión infantiles"",""Tronas disponibles"",""Alquiler de coches"",""Centro de negocios con acceso a Internet"",""Instalaciones para conferencias"",""Habitación hipoalergénica"",""Cortinas opacas"",""Aire acondicionado"",""Mesa de escritorio"",""Minibar"",""TV por cable o satélite"",""Camas extragrandes"",""Ducha a ras de suelo""]","[""Vistas a la ciudad"",""Habitaciones de no fumadores"",""Suites""]","Calle Preciados, 37, 28013, Madrid",40.4196853,-3.7074213
"¿Buscas un lugar para alojarte en Madrid? Entonces no te pierdas Caballero Errante Hotel, un hotel económico que te acerca a lo mejor de Madrid. Las habitaciones de los huéspedes estan equipadas con todo lo necesario para una estancia agradable. También puedes aprovechar algunos de los servicios que ofrece el hotel, como recepción abierta las 24 horas, registro de entrada las 24 horas. Además, los huéspedes pueden disfrutar de desayuno durante su visita. Como una comodidad adicional, hay estacionamiento (de pago) disponible para los huéspedes. Al estar cerca de algunos de los puntos de referencia más populares de Madrid, como Paseo de la Castellana, Faro de Moncloa (3,9 km) y Metrópolis (3,9 km), Caballero Errante Hotel es un magnífico destino para turistas. Mientras estés en Madrid, quizás quieras ir a algunos de los restaurantes que se encuentran a poca distancia a pie de Caballero Errante Hotel, como DiverXO (0,8 km), De Maria Felix Boix (0,4 km) y Sacha (0,6 km). Durante su visita, asegúrese de visitar atracciones populares como Stadio Santiago Bernabeu (1,0 km), Centro de Exposiciones de Arte del Canal (0,4 km) y Paseo de la Castellana (0,9 km), a las que se puede acceder a pie desde el hotel. Estamos seguros de que disfrutarás de tu estancia en Caballero Errante Hotel mientras descubres todo lo que Madrid tiene para ofrecer.",,Hotel Caballero Errante,65 €,"4,5","[""Aparcamiento privado de pago dentro del recinto"",""Internet de alta velocidad gratuito (wifi)"",""Bar/salón"",""Se admiten mascotas"",""Espacio para guardar el equipaje"",""Conserje"",""Registro de entrada 24 horas"",""Recepción 24 horas"",""Aire acondicionado"",""Mesa de escritorio"",""Servicio de limpieza"",""Caja fuerte"",""Minibar"",""Televisor de pantalla plana"",""Secador de pelo""]","[""Habitaciones insonorizadas"",""Habitaciones de no fumadores"",""Habitaciones para fumadores disponibles""]","Calle Pinos Alta, 14, 28029, Madrid",40.4699865,-3.7000827
"Un hotel que piensa en el viajero urbanita, el que quiere disfrutar de la ciudad y de su parte más vibrante y cosmopolita, pero el que también quiere encontrar un punto de desconexión y relax sin salir del hotel.
Desayunar en la terraza, comer una pizza con sello napolitano, disfrutar de un cóctel con una de las mejores vistas panorámicas de Madrid o hacerte una foto durante el atardecer. Todo ello es posible aquí.",No hay link,Pestana CR7 Gran Vía Madrid,140 €,"4,5","[""Aparcamiento público de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Piscina en la azotea"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Instalaciones para conferencias"",""Zona para tomar el sol"",""Terraza-solario"",""Cortinas opacas"",""Aire acondicionado"",""Servicio de habitaciones"",""Sofá"",""Teléfono"",""Minibar"",""TV por cable o satélite"",""Bañera/ducha""]","[""Vistas a la ciudad"",""Habitaciones de no fumadores""]","Calle Gran Vía, 29, 28013, Madrid",40.47083205,-3.871344282431271
"Si buscas un hotel con encanto en Madrid, no te pierdas Catalonia Atocha.
Como está cerca de la mayoría de los puntos de referencia de Madrid, como Plaza de Santa Ana (0,4 km) y La Latina (0,9 km), Catalonia Atocha Calle Atocha 81 Hotel es un fantástico destino para turistas.
Las habitaciones de los huéspedes incluyen televisor de pantalla plana, aire acondicionado y minibar, y Catalonia Atocha te ayuda a que estés conectado, ya que dispone de wifi gratuito.",No hay link,Catalonia Atocha,160 €,"4,5","[""Aparcamiento"",""Internet de alta velocidad gratuito (wifi)"",""Jacuzzi"",""Bar/salón"",""Se admiten mascotas"",""Servicio de taxi"",""Centro de negocios con acceso a Internet"",""Instalaciones para conferencias"",""Aire acondicionado"",""Mesa de escritorio"",""Balcón privado"",""Servicio de habitaciones"",""Minibar"",""Televisor de pantalla plana"",""Artículos de aseo gratuitos de cortesía""]","[""Habitaciones insonorizadas"",""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Calle de Atocha, 81, 28012, Madrid",40.4119257,-3.6977945
"Axel Hotel Madrid está ubicado en el número 49 de la calle Atocha, ubicado en el popular Barrio de las Letras, y rodeado de las calles más emblemáticas de la ciudad, en un enclave bohemio que combina diversión, compras y buena gastronomía. El hotel dispondrá de 88 habitaciones y en Axel Hotel Madrid encontrarás tu punto de encuentro en la capital, con sus innovadores espacios de ocio en los que cuidarte y divertirte, siempre fiel al concepto Axel de estilo, diseño, confort y ambiente cosmopolita.",No hay link,Axel Hotel Madrid,121 €,"4,5","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Piscina"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Servicio de taxi"",""Salas de reuniones"",""Masaje"",""Aire acondicionado"",""Balcón privado"",""Servicio de habitaciones"",""Caja fuerte"",""Teléfono"",""Equipamiento para sala VIP"",""Minibar"",""Televisor de pantalla plana""]","[""Habitaciones de no fumadores"",""Suites""]","Calle de Atocha, 49, 28012, Madrid",40.413134,-3.7005625
La estancia perfecta en una convención de trabajo. Dejé mi portátil olvidado en la habitación y la atención y gestión por parte del hotel ha sido perfecta. Cuando las cosas dejan de ser normales se demuestra la excelencia y lo han clavado. Gracias,,Canopy by Hilton Madrid Castellana,173 €,"4,5","[""Aparcamiento público de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Piscina"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Se admiten mascotas"",""Alquiler de coches"",""Centro de negocios con acceso a Internet"",""Aire acondicionado"",""Servicio de limpieza"",""Servicio de habitaciones"",""Minibar"",""Televisor de pantalla plana"",""Películas bajo demanda"",""Bañera/ducha""]","[""Habitaciones interconectadas disponibles"",""Vistas a la montaña"",""Vistas a la ciudad"",""Vistas a sitios de interés turístico"",""Habitaciones de no fumadores"",""Suites""]","Plaza Carlos Trias Bertran, 4, 28020, Madrid",40.4520386,-3.6939437
"La ubicación privilegiada de VP El Madroño en pleno Barrio de Salamanca y el acceso prácticamente directo al aeropuerto de Barajas y al Recinto Ferial (Ifema), hacen del VP El Madroño una de las mejores elecciones para poder disfrutar de Madrid, de sus museos y monumentos más representativos, de su variada gastronomía y de sus espléndidas zonas comerciales. Nuestro establecimiento, dispone de unas amplias habitaciones que se adaptan a todo tipo de estancias, ya sean para viajes de larga duración, de negocios o familiares. VP El Madroño dispone de Parking propio vigilado 24 horas con precios especiales para clientes alojados. Nuestro establecimiento es, sin lugar a dudas, una estupenda elección tanto para sus viajes de negocio como para conocer y disfrutar la ciudad.",No hay link,VP El Madroño,94 €,"4,5","[""Aparcamiento privado de pago dentro del recinto"",""Internet de alta velocidad gratuito (wifi)"",""Desayuno disponible"",""Se admiten mascotas"",""Alquiler de coches"",""Centro de negocios con acceso a Internet"",""Instalaciones para conferencias"",""Espacio para guardar el equipaje"",""Cortinas opacas"",""Aire acondicionado"",""Servicio de limpieza"",""Servicio de habitaciones"",""Caja fuerte"",""Cocina americana"",""Microondas"",""Televisor de pantalla plana""]","[""Habitaciones de no fumadores"",""Habitaciones para familias""]","Calle del General Díaz Porlier, 101, 28006, Madrid",40.4351616,-3.6764792
"Vive Madrid como nunca antes lo habías hecho alojándote en el Hotel Chamartín The One, un renovado hotel junto a la estación de Chamartín, Madrid, con espacios de diseño contemporáneo y servicios especializados en el viajero de ocio y en los que acuden a la capital por negocios para celebrar eventos, congresos y reuniones. Disfruta de las ventajas de un hotel 4 estrellas al lado del Paseo de la Castellana, a escasos minutos del Aeropuerto de Madrid Adolfo Suárez Barajas y los recintos feriales de IFEMA, muy cerca del estadio Bernabéu y los principales puntos de interés de Madrid y perfectamente conectado con los centros de negocios más activos de la capital. Moderno, equipado con última tecnología y con atención personalizada, es una opción perfecta para descansar, trabajar y descubrir toda la ciudad de Madrid. Elige tu habitación en Chamartín The One y presume de hotel en Madrid, Madrid. Siempre con la mejor tarifa online asegurada reservando directamente desde aquí, en exclusiva: bienvenido a la web oficial del Hotel Chamartín The One.",,Hotel Chamartín The One,91 €,"3,5","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Bar/salón"",""Servicio de taxi"",""Centro de negocios con acceso a Internet"",""Instalaciones para conferencias"",""Vigilancia 24 horas"",""Espacio para guardar el equipaje"",""Cortinas opacas"",""Aire acondicionado"",""Mesa de escritorio"",""Servicio de limpieza"",""Servicio de habitaciones"",""Minibar"",""Televisor de pantalla plana"",""Bañera/ducha""]","[""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Calle de Agustín de Foxá, s/n, 28036, Madrid",40.47220955,-3.683898918115726
"Si buscas un hotel para familias en Madrid, no te pierdas Hilton Madrid Airport.
Durante su estancia en Hilton International Madrid, los huéspedes pueden visitar Sculpture of Fingers (1,2 km) y cines odeon (3,9 km), que son algunas de las principales atracciones de Madrid.
Las habitaciones de los huéspedes ofrecen servicios como televisor de pantalla plana, aire acondicionado y minibar, y los huéspedes pueden permanecer conectados con wifi gratuito que ofrece el hotel.",,Hilton Madrid Airport,136 €,"4,0","[""Aparcamiento privado de pago dentro del recinto"",""Internet de alta velocidad gratuito (wifi)"",""Piscina"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Consola de videojuegos"",""Guardería"",""Se admiten mascotas"",""Aire acondicionado"",""Mesa de escritorio"",""Servicio de habitaciones"",""Caja fuerte"",""Cafetera/tetera"",""Minibar"",""Televisor de pantalla plana"",""Bañera/ducha""]","[""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Avenida de Hispanidad, 2-4, 28042, Madrid",40.4521752,-3.5855655000000004
"Hotel Senator Barajas es un confortable hotel de 4 estrellas situado junto al aeropuerto de Adolfo Suárez Madrid-Barajas e IFEMA, Feria de Madrid, y diseñado para acoger todo tipo de eventos, así como para dar servicio tanto a los viajeros de negocios como a los acuden a la capital a disfrutar de su magnífico ambiente.",,Senator Barajas Hotel,86 €,"3,0","[""Aparcamiento privado de pago dentro del recinto"",""Internet de alta velocidad gratuito (wifi)"",""Piscina"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Se admiten mascotas"",""Transporte gratuito desde/al aeropuerto"",""Centro de negocios con acceso a Internet"",""Aire acondicionado"",""Servicio de limpieza"",""Balcón privado"",""Servicio de habitaciones"",""Caja fuerte"",""Televisor de pantalla plana""]","[""Habitaciones de no fumadores"",""Habitaciones para familias""]","Calle Galeón, 27, 28042, Madrid",40.457179,-3.5841405
"Situado en la céntrica Gran Vía, el H10 Villa de la Reina es un Boutique Hotel emplazado en un majestuoso edificio de principios del siglo XX, cuidadosamente restaurado. Totalmente renovado con un interiorismo muy elegante que combina toques modernos con otros más clásicos, el hotel cuenta con confortables habitaciones, el restaurante Las Infantas, el bar La Villa y tres salones de reuniones.",,H10 Villa de la Reina Boutique Hotel,115 €,"4,5","[""Aparcamiento"",""Internet de alta velocidad gratuito (wifi)"",""Bar/salón"",""Centro de negocios con acceso a Internet"",""Salas de reuniones"",""Vigilancia 24 horas"",""Espacio para guardar el equipaje"",""Registro de entrada 24 horas"",""Aire acondicionado"",""Servicio de habitaciones"",""Caja fuerte"",""Minibar"",""Televisor de pantalla plana""]","[""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Calle Gran Vía, 22, 28013, Madrid",40.47083205,-3.871344282431271
"El hotel se localiza en el famoso barrio de Tirso de Molina, a pocos metros de la Puerta del Sol, el centro de la ciudad, y de famosos mercados tradicionales como el Rastro o el Mercado de San Miguel. Además, en pocos minutos podrás visitar los grandes museos de la ciudad como el Prado o el Reina Sofía. Sin olvidarnos de la noche madrileña, única en el mundo.",,Way Hostel Madrid,88 €,"4,5","[""Aparcamiento público de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Bar/salón"",""Alquiler de bicicletas"",""Animación nocturna"",""Vigilancia 24 horas"",""Espacio para guardar el equipaje"",""Recepción 24 horas"",""Aire acondicionado"",""Caja fuerte"",""Cocina americana""]","[""Habitaciones de no fumadores""]","Calle Relatores, 17, 28012, Madrid",40.4125535,-3.7034349
"Al sur de Madrid, en Villaverde Alto, muy cerca de Getafe, situado en un moderno edificio dotado de las últimas tecnologías, Vértice roomspace Madrid es una nueva forma de alojamiento con un estilo moderno, joven y minimalista que te permitirá rentabilizar tus vacaciones o viaje de negocios.
Tenemos la estación de cercanías de San Cristobal Industrial a 300 metros y estamos bien comunicados con la Estación de Atocha y el centro de Madrid, tanto por tren como por Metro. Nuestra excelente ubicación y la calidad de nuestros servicios e instalaciones nos convierten en un hostal de referencia tanto para turismo como para negocios.",No hay link,Vértice Roomspace,57 €,"3,5","[""Aparcamiento privado de pago dentro del recinto"",""Garaje"",""Internet de alta velocidad gratuito (wifi)"",""Wifi"",""Desayuno disponible"",""Espacio para guardar el equipaje"",""Recepción 24 horas"",""Autoservicio de lavandería"",""Cocina americana"",""Televisor de pantalla plana""]",[],"Calle Laguna Dalga, 4, 28021, Madrid",40.33228295,-3.7027707375839096
